s,o,p,model,weight
ex:coin5366,ex:issuer88,ex:issuer,,1.0
ex:coin6559,ex:issuer131,ex:issuer,,1.0
ex:coin6559,ex:issuer151,ex:issuer,,1.0
ex:coin9806,ex:issuer83,ex:issuer,,1.0
ex:coin9808,ex:issuer83,ex:issuer,,1.0
ex:coin9808,ex:issuer88,ex:issuer,,1.0
ex:coin11498,ex:issuer83,ex:issuer,,1.0
ex:coin11502,ex:issuer83,ex:issuer,,1.0
ex:coin11502,ex:issuer88,ex:issuer,,1.0
ex:coin11880,ex:issuer83,ex:issuer,,1.0
ex:coin11880,ex:issuer88,ex:issuer,,1.0
ex:coin11937,ex:issuer83,ex:issuer,,1.0
ex:coin12284,ex:issuer83,ex:issuer,,1.0
ex:coin12343,ex:issuer88,ex:issuer,,1.0
ex:coin15663,ex:issuer83,ex:issuer,,1.0
ex:coin16646,ex:issuer60,ex:issuer,,1.0
ex:coin17206,ex:issuer83,ex:issuer,,1.0
ex:coin17206,ex:issuer88,ex:issuer,,1.0
ex:coin17818,ex:issuer83,ex:issuer,,1.0
ex:coin17839,ex:issuer106,ex:issuer,,1.0
ex:coin17839,ex:issuer107,ex:issuer,,1.0
ex:coin6559,ex:uncertain,ex:issuer,,1.0
ex:coin12284,ex:uncertain,ex:issuer,,1.0
ex:coin15663,ex:uncertain,ex:issuer,,1.0
ex:coin17839,ex:uncertain,ex:issuer,,1.0
