s,p,o
ex:issuer_74,ex:inPossibleIssuersOf,ex:person_189
ex:issuer_77,ex:inPossibleIssuersOf,ex:person_189
ex:issuer_106,ex:inPossibleIssuersOf,ex:person_190
ex:issuer_103,ex:inPossibleIssuersOf,ex:person_191
ex:issuer_111,ex:inPossibleIssuersOf,ex:person_192
ex:issuer_111,ex:inPossibleIssuersOf,ex:person_193
ex:issuer_102,ex:inPossibleIssuersOf,ex:person_194
ex:issuer_103,ex:inPossibleIssuersOf,ex:person_194
ex:issuer_281,ex:inPossibleIssuersOf,ex:person_195
ex:issuer_59,ex:inPossibleIssuersOf,ex:person_196
ex:issuer_106,ex:inPossibleIssuersOf,ex:person_198
ex:issuer_289,ex:inPossibleIssuersOf,ex:person_198
ex:issuer_296,ex:inPossibleIssuersOf,ex:person_198
ex:coin_34,nmo:hasIssuer,ex:issuer_6
ex:coin_34,nmo:hasIssuer,ex:issuer_14
ex:coin_126,nmo:hasIssuer,ex:issuer_6
ex:coin_126,nmo:hasIssuer,ex:issuer_14
ex:coin_166,nmo:hasIssuer,ex:issuer_6
ex:coin_166,nmo:hasIssuer,ex:issuer_14
ex:coin_177,nmo:hasIssuer,ex:issuer_6
ex:coin_177,nmo:hasIssuer,ex:issuer_14
ex:coin_210,nmo:hasIssuer,ex:issuer_6
ex:coin_210,nmo:hasIssuer,ex:issuer_14
ex:coin_1416,nmo:hasIssuer,ex:issuer_6
ex:coin_1416,nmo:hasIssuer,ex:issuer_14
ex:coin_1417,nmo:hasIssuer,ex:issuer_6
ex:coin_1417,nmo:hasIssuer,ex:issuer_14
ex:coin_911,nmo:hasIssuer,ex:issuer_20
ex:coin_1534,nmo:hasIssuer,ex:issuer_33
ex:coin_1592,nmo:hasIssuer,ex:issuer_33
ex:coin_1601,nmo:hasIssuer,ex:issuer_33
ex:coin_1607,nmo:hasIssuer,ex:issuer_33
ex:coin_1609,nmo:hasIssuer,ex:issuer_33
ex:coin_1812,nmo:hasIssuer,ex:issuer_33
ex:coin_5770,nmo:hasIssuer,ex:issuer_33
ex:coin_5770,nmo:hasIssuer,ex:issuer_48
ex:coin_6421,nmo:hasIssuer,ex:issuer_33
ex:coin_9073,nmo:hasIssuer,ex:issuer_33
ex:coin_9427,nmo:hasIssuer,ex:issuer_33
ex:coin_9497,nmo:hasIssuer,ex:issuer_33
ex:coin_9497,nmo:hasIssuer,ex:issuer_48
ex:coin_10123,nmo:hasIssuer,ex:issuer_33
ex:coin_10154,nmo:hasIssuer,ex:issuer_33
ex:coin_11651,nmo:hasIssuer,ex:issuer_33
ex:coin_12037,nmo:hasIssuer,ex:issuer_33
ex:coin_12365,nmo:hasIssuer,ex:issuer_33
ex:coin_12366,nmo:hasIssuer,ex:issuer_33
ex:coin_12831,nmo:hasIssuer,ex:issuer_33
ex:coin_13232,nmo:hasIssuer,ex:issuer_33
ex:coin_13504,nmo:hasIssuer,ex:issuer_33
ex:coin_13743,nmo:hasIssuer,ex:issuer_33
ex:coin_14201,nmo:hasIssuer,ex:issuer_33
ex:coin_15055,nmo:hasIssuer,ex:issuer_33
ex:coin_16275,nmo:hasIssuer,ex:issuer_33
ex:coin_16276,nmo:hasIssuer,ex:issuer_33
ex:coin_17623,nmo:hasIssuer,ex:issuer_33
ex:coin_18266,nmo:hasIssuer,ex:issuer_33
ex:coin_18398,nmo:hasIssuer,ex:issuer_33
ex:coin_28157,nmo:hasIssuer,ex:issuer_33
ex:coin_28158,nmo:hasIssuer,ex:issuer_33
ex:coin_28159,nmo:hasIssuer,ex:issuer_33
ex:coin_28160,nmo:hasIssuer,ex:issuer_33
ex:coin_28161,nmo:hasIssuer,ex:issuer_33
ex:coin_28162,nmo:hasIssuer,ex:issuer_33
ex:coin_28163,nmo:hasIssuer,ex:issuer_33
ex:coin_28164,nmo:hasIssuer,ex:issuer_33
ex:coin_28165,nmo:hasIssuer,ex:issuer_33
ex:coin_28166,nmo:hasIssuer,ex:issuer_33
ex:coin_28167,nmo:hasIssuer,ex:issuer_33
ex:coin_28168,nmo:hasIssuer,ex:issuer_33
ex:coin_28169,nmo:hasIssuer,ex:issuer_33
ex:coin_28170,nmo:hasIssuer,ex:issuer_33
ex:coin_28171,nmo:hasIssuer,ex:issuer_33
ex:coin_28172,nmo:hasIssuer,ex:issuer_33
ex:coin_28173,nmo:hasIssuer,ex:issuer_33
ex:coin_28174,nmo:hasIssuer,ex:issuer_33
ex:coin_28175,nmo:hasIssuer,ex:issuer_33
ex:coin_28176,nmo:hasIssuer,ex:issuer_33
ex:coin_28177,nmo:hasIssuer,ex:issuer_33
ex:coin_28178,nmo:hasIssuer,ex:issuer_33
ex:coin_28179,nmo:hasIssuer,ex:issuer_33
ex:coin_28180,nmo:hasIssuer,ex:issuer_33
ex:coin_28181,nmo:hasIssuer,ex:issuer_33
ex:coin_28182,nmo:hasIssuer,ex:issuer_33
ex:coin_28183,nmo:hasIssuer,ex:issuer_33
ex:coin_28184,nmo:hasIssuer,ex:issuer_33
ex:coin_28185,nmo:hasIssuer,ex:issuer_33
ex:coin_28186,nmo:hasIssuer,ex:issuer_33
ex:coin_28187,nmo:hasIssuer,ex:issuer_33
