s,p,o
ex:coin_28879,nmo:hasIssuer,ex:issuer_131
ex:coin_28879,nmo:hasIssuer,ex:issuer_154
ex:coin_28879,nmo:hasPortrait,ex:person_41
ex:coin_28880,nmo:hasIssuer,ex:issuer_154
ex:coin_28880,nmo:hasIssuer,ex:issuer_131
ex:coin_28880,nmo:hasPortrait,ex:person_41
ex:coin_28898,nmo:hasIssuer,ex:issuer_154
ex:coin_28898,nmo:hasIssuer,ex:issuer_131
ex:coin_28898,nmo:hasPortrait,ex:person_40
ex:coin_28899,nmo:hasIssuer,ex:issuer_131
ex:coin_28899,nmo:hasIssuer,ex:issuer_154
ex:coin_28899,nmo:hasPortrait,ex:person_41
ex:coin_28900,nmo:hasIssuer,ex:issuer_154
ex:coin_28900,nmo:hasIssuer,ex:issuer_131
ex:coin_28900,nmo:hasPortrait,ex:person_41
ex:coin_28901,nmo:hasIssuer,ex:issuer_131
ex:coin_28901,nmo:hasIssuer,ex:issuer_154
ex:coin_28901,nmo:hasPortrait,ex:person_41
ex:coin_28989,nmo:hasIssuer,ex:issuer_131
ex:coin_28989,nmo:hasIssuer,ex:issuer_154
ex:coin_28989,nmo:hasPortrait,ex:person_40
ex:coin_28990,nmo:hasIssuer,ex:issuer_154
ex:coin_28990,nmo:hasIssuer,ex:issuer_131
ex:coin_28990,nmo:hasPortrait,ex:person_40
ex:coin_28991,nmo:hasIssuer,ex:issuer_131
ex:coin_28991,nmo:hasIssuer,ex:issuer_154
ex:coin_28991,nmo:hasPortrait,ex:person_41
ex:coin_29072,nmo:hasIssuer,ex:issuer_154
ex:coin_29072,nmo:hasIssuer,ex:issuer_131
ex:coin_29072,nmo:hasPortrait,ex:person_40
ex:coin_29216,nmo:hasIssuer,ex:issuer_131
ex:coin_29216,nmo:hasIssuer,ex:issuer_154
ex:coin_29216,nmo:hasPortrait,ex:person_40
ex:coin_29264,nmo:hasIssuer,ex:issuer_131
ex:coin_29264,nmo:hasIssuer,ex:issuer_154
ex:coin_29264,nmo:hasPortrait,ex:person_40
ex:coin_29304,nmo:hasIssuer,ex:issuer_131
ex:coin_29304,nmo:hasIssuer,ex:issuer_152
ex:coin_29304,nmo:hasPortrait,ex:person_36
ex:coin_29532,nmo:hasIssuer,ex:issuer_131
ex:coin_29532,nmo:hasIssuer,ex:issuer_154
ex:coin_29532,nmo:hasPortrait,ex:person_41
ex:coin_29624,nmo:hasIssuer,ex:issuer_131
ex:coin_29624,nmo:hasIssuer,ex:issuer_154
ex:coin_29624,nmo:hasPortrait,ex:person_41
ex:coin_29681,nmo:hasIssuer,ex:issuer_154
ex:coin_29681,nmo:hasIssuer,ex:issuer_131
ex:coin_29681,nmo:hasPortrait,ex:person_40
ex:coin_29682,nmo:hasIssuer,ex:issuer_131
ex:coin_29682,nmo:hasIssuer,ex:issuer_154
ex:coin_29682,nmo:hasPortrait,ex:person_41
ex:coin_29831,nmo:hasIssuer,ex:issuer_131
ex:coin_29831,nmo:hasIssuer,ex:issuer_154
ex:coin_29831,nmo:hasPortrait,ex:person_40
ex:coin_29927,nmo:hasIssuer,ex:issuer_131
ex:coin_29927,nmo:hasIssuer,ex:issuer_154
ex:coin_29927,nmo:hasPortrait,ex:person_41
ex:coin_29997,nmo:hasIssuer,ex:issuer_131
ex:coin_29997,nmo:hasIssuer,ex:issuer_154
ex:coin_29997,nmo:hasPortrait,ex:person_41
ex:coin_30007,nmo:hasIssuer,ex:issuer_154
ex:coin_30007,nmo:hasIssuer,ex:issuer_131
ex:coin_30007,nmo:hasPortrait,ex:person_40
ex:coin_30010,nmo:hasIssuer,ex:issuer_131
ex:coin_30010,nmo:hasIssuer,ex:issuer_154
ex:coin_30010,nmo:hasPortrait,ex:person_40
ex:coin_30011,nmo:hasIssuer,ex:issuer_154
ex:coin_30011,nmo:hasIssuer,ex:issuer_131
ex:coin_30011,nmo:hasPortrait,ex:person_40
ex:coin_30014,nmo:hasIssuer,ex:issuer_131
ex:coin_30014,nmo:hasIssuer,ex:issuer_154
ex:coin_30014,nmo:hasPortrait,ex:person_41
ex:coin_30016,nmo:hasIssuer,ex:issuer_154
ex:coin_30016,nmo:hasIssuer,ex:issuer_131
ex:coin_30016,nmo:hasPortrait,ex:person_41
ex:coin_30017,nmo:hasIssuer,ex:issuer_131
ex:coin_30017,nmo:hasIssuer,ex:issuer_154
ex:coin_30017,nmo:hasPortrait,ex:person_41
ex:coin_30033,nmo:hasIssuer,ex:issuer_131
ex:coin_30033,nmo:hasIssuer,ex:issuer_154
ex:coin_30033,nmo:hasPortrait,ex:person_40
ex:coin_30034,nmo:hasIssuer,ex:issuer_154
ex:coin_30034,nmo:hasIssuer,ex:issuer_131
ex:coin_30034,nmo:hasPortrait,ex:person_40
ex:coin_30096,nmo:hasIssuer,ex:issuer_154
ex:coin_30096,nmo:hasIssuer,ex:issuer_131
ex:coin_30096,nmo:hasPortrait,ex:person_40
ex:coin_30107,nmo:hasIssuer,ex:issuer_154
ex:coin_30107,nmo:hasIssuer,ex:issuer_131
ex:coin_30107,nmo:hasPortrait,ex:person_41
ex:coin_30131,nmo:hasIssuer,ex:issuer_131
ex:coin_30131,nmo:hasIssuer,ex:issuer_154
ex:coin_30131,nmo:hasPortrait,ex:person_40
ex:coin_30143,nmo:hasIssuer,ex:issuer_131
ex:coin_30143,nmo:hasIssuer,ex:issuer_154
ex:coin_30143,nmo:hasPortrait,ex:person_41
ex:coin_30209,nmo:hasIssuer,ex:issuer_154
ex:coin_30209,nmo:hasIssuer,ex:issuer_131
ex:coin_30209,nmo:hasPortrait,ex:person_41
ex:coin_30255,nmo:hasIssuer,ex:issuer_131
ex:coin_30255,nmo:hasIssuer,ex:issuer_154
ex:coin_30255,nmo:hasPortrait,ex:person_40
ex:coin_30288,nmo:hasIssuer,ex:issuer_131
ex:coin_30288,nmo:hasIssuer,ex:issuer_154
ex:coin_30288,nmo:hasPortrait,ex:person_41
ex:coin_30294,nmo:hasIssuer,ex:issuer_131
ex:coin_30294,nmo:hasIssuer,ex:issuer_154
ex:coin_30294,nmo:hasPortrait,ex:person_41
ex:coin_30333,nmo:hasIssuer,ex:issuer_131
ex:coin_30333,nmo:hasIssuer,ex:issuer_154
ex:coin_30333,nmo:hasPortrait,ex:person_40
ex:coin_30341,nmo:hasIssuer,ex:issuer_131
ex:coin_30341,nmo:hasIssuer,ex:issuer_154
ex:coin_30341,nmo:hasPortrait,ex:person_41
ex:coin_30401,nmo:hasIssuer,ex:issuer_154
ex:coin_30401,nmo:hasIssuer,ex:issuer_131
ex:coin_30401,nmo:hasPortrait,ex:person_40
ex:coin_30436,nmo:hasIssuer,ex:issuer_131
ex:coin_30436,nmo:hasIssuer,ex:issuer_154
ex:coin_30436,nmo:hasPortrait,ex:person_41
ex:coin_30510,nmo:hasIssuer,ex:issuer_131
ex:coin_30510,nmo:hasIssuer,ex:issuer_154
ex:coin_30510,nmo:hasPortrait,ex:person_41
ex:coin_30567,nmo:hasIssuer,ex:issuer_131
ex:coin_30567,nmo:hasIssuer,ex:issuer_152
ex:coin_30567,nmo:hasPortrait,ex:person_36
ex:coin_30723,nmo:hasIssuer,ex:issuer_131
ex:coin_30723,nmo:hasIssuer,ex:issuer_154
ex:coin_30723,nmo:hasPortrait,ex:person_40
ex:coin_30758,nmo:hasIssuer,ex:issuer_154
ex:coin_30758,nmo:hasIssuer,ex:issuer_131
ex:coin_30758,nmo:hasPortrait,ex:person_40
ex:coin_30866,nmo:hasIssuer,ex:issuer_131
ex:coin_30866,nmo:hasIssuer,ex:issuer_154
ex:coin_30866,nmo:hasPortrait,ex:person_41
ex:coin_30939,nmo:hasIssuer,ex:issuer_154
ex:coin_30939,nmo:hasIssuer,ex:issuer_131
ex:coin_30939,nmo:hasPortrait,ex:person_40
ex:coin_30959,nmo:hasIssuer,ex:issuer_154
ex:coin_30959,nmo:hasIssuer,ex:issuer_131
ex:coin_30959,nmo:hasPortrait,ex:person_41
ex:coin_31177,nmo:hasIssuer,ex:issuer_131
ex:coin_31177,nmo:hasIssuer,ex:issuer_154
ex:coin_31177,nmo:hasPortrait,ex:person_40
ex:coin_31181,nmo:hasIssuer,ex:issuer_131
ex:coin_31181,nmo:hasIssuer,ex:issuer_154
ex:coin_31181,nmo:hasPortrait,ex:person_40
ex:coin_31189,nmo:hasIssuer,ex:issuer_154
ex:coin_31189,nmo:hasIssuer,ex:issuer_131
ex:coin_31189,nmo:hasPortrait,ex:person_40
ex:coin_31190,nmo:hasIssuer,ex:issuer_131
ex:coin_31190,nmo:hasIssuer,ex:issuer_154
ex:coin_31190,nmo:hasPortrait,ex:person_41
ex:coin_31206,nmo:hasIssuer,ex:issuer_154
ex:coin_31206,nmo:hasIssuer,ex:issuer_131
ex:coin_31206,nmo:hasPortrait,ex:person_40
ex:coin_31207,nmo:hasIssuer,ex:issuer_131
ex:coin_31207,nmo:hasIssuer,ex:issuer_154
ex:coin_31207,nmo:hasPortrait,ex:person_40
ex:coin_31208,nmo:hasIssuer,ex:issuer_154
ex:coin_31208,nmo:hasIssuer,ex:issuer_131
ex:coin_31208,nmo:hasPortrait,ex:person_40
ex:coin_31223,nmo:hasIssuer,ex:issuer_131
ex:coin_31223,nmo:hasIssuer,ex:issuer_154
ex:coin_31223,nmo:hasPortrait,ex:person_40
ex:coin_31226,nmo:hasIssuer,ex:issuer_131
ex:coin_31226,nmo:hasIssuer,ex:issuer_154
ex:coin_31226,nmo:hasPortrait,ex:person_41
ex:coin_31227,nmo:hasIssuer,ex:issuer_131
ex:coin_31227,nmo:hasIssuer,ex:issuer_152
ex:coin_31227,nmo:hasPortrait,ex:person_36
ex:coin_31229,nmo:hasIssuer,ex:issuer_154
ex:coin_31229,nmo:hasIssuer,ex:issuer_131
ex:coin_31229,nmo:hasPortrait,ex:person_40
ex:coin_31249,nmo:hasIssuer,ex:issuer_131
ex:coin_31249,nmo:hasIssuer,ex:issuer_154
ex:coin_31249,nmo:hasPortrait,ex:person_41
ex:coin_31269,nmo:hasIssuer,ex:issuer_131
ex:coin_31269,nmo:hasIssuer,ex:issuer_154
ex:coin_31269,nmo:hasPortrait,ex:person_41
ex:coin_31299,nmo:hasIssuer,ex:issuer_131
ex:coin_31299,nmo:hasIssuer,ex:issuer_154
ex:coin_31299,nmo:hasPortrait,ex:person_41
ex:coin_31354,nmo:hasIssuer,ex:issuer_154
ex:coin_31354,nmo:hasIssuer,ex:issuer_131
ex:coin_31354,nmo:hasPortrait,ex:person_41
ex:coin_31372,nmo:hasIssuer,ex:issuer_131
